Month	Date	Status	Title	Platform(s)	Genre(s)	Publisher(s)
Sep	19/09/2006		The Godfather: The Game	X360, PSP		
Sep	19/09/2006		EverQuest: The Serpent's Spine	Win, 		
Sep	19/09/2006		Zatch Bell! Mamodo Fury	PS2, 		
Sep	22/09/2006		Just Cause	Win, PS2, Xbox, X360, 		
Sep	22/09/2006		Jaws: Unleashed[31]	Win (EU), 		
Sep	25/09/2006		Alex Rider: Stormbreaker	GBA, NDS		
Sep	25/09/2006		Baten Kaitos Origins (North America)	GCN, 		
Sep	25/09/2006		The Grim Adventures of Billy & Mandy	GCN, PS2, 		
Sep	25/09/2006		Mario vs. Donkey Kong 2: March of the Minis	NDS		
Sep	26/09/2006		Caesar IV	Win, 		
Sep	26/09/2006		Dance Dance Revolution SuperNova	PS2, 		
Sep	26/09/2006		The Fast and the Furious	PS2, 		
Sep	26/09/2006		Mage Knight: Destiny's Soldier	NDS		
Sep	26/09/2006		Spectral Souls: Resurrection of the Ethereal Empires	PSP		
Sep	26/09/2006		Valkyrie Profile 2: Silmeria	PS2, 		
Sep	28/09/2006		Pokémon Diamond and Pearl (Japan)	NDS		
Sep	28/09/2006		Kingdom Hearts II (Australia, Europe)	PS2, 		
Sep	29/09/2006		DEFCON: Everybody Dies (Europe)	Win, 		
Oct	02/10/2006		Family Guy Video Game!	PS2, Xbox, 		
Oct	02/10/2006		Unfabulous	GBA		
Oct	03/10/2006		Gangs of London	PSP		
Oct	03/10/2006		Mercury Meltdown	PSP		
Oct	04/10/2006		Star Trek: Encounters	PS2, 		
Oct	05/10/2006		Desperate Housewives: The Game	Win, 		
Oct	06/10/2006		Heroes of Annihilated Empires	Win, 		
Oct	06/10/2006		Stacked with Daniel Negreanu	PSP		
Oct	08/10/2006		Scarface: The World Is Yours	Win, PS2, Xbox, 		
Oct	09/10/2006		Warhammer 40,000: Dawn of War: Dark Crusade	Win, 		
Oct	10/10/2006		Crash Boom Bang!	NDS		
Oct	10/10/2006		God Hand	PS2, 		
Oct	10/10/2006		Gun	PSP		
Oct	10/10/2006		Tales of the Abyss	PS2, 		
Oct	10/10/2006		The Legend of Spyro: A New Beginning	GCN, PS2, Xbox, GBA		
Oct	11/10/2006		Mortal Kombat: Armageddon	PS2, 		
Oct	12/10/2006		American Dragon: Jake Long – Attack of the Dark Dragon	PS2, GCN, Xbox, NDS		
Oct	12/10/2006		American Dragon: Jake Long – Rise of the Huntsclan	PS2, GCN, Xbox, GBA		
Oct	13/10/2006		Gothic 3	Win, 		
Oct	16/10/2006		The Grim Adventures of Billy & Mandy	GBA		
Oct	17/10/2006		Age of Empires III: The War Chiefs	Win, 		
Oct	17/10/2006		Battlefield 2142	Win, 		
Oct	17/10/2006		Bully	PS2, 		
Oct	17/10/2006		Family Guy Video Game!	PSP		
Oct	17/10/2006		Justice League Heroes	PS2, Xbox, NDS		
Oct	17/10/2006		Justice League Heroes: The Flash	GBA		
Oct	17/10/2006		Mortal Kombat: Armageddon	Xbox, 		
Oct	17/10/2006		Sid Meier's Railroads! (North America)	Win, 		
Oct	17/10/2006		Summon Night: Swordcraft Story 2	GBA		
Oct	17/10/2006		The Legend of Spyro: A New Beginning	NDS		
Oct	17/10/2006		The Sims 2: Pets	Win, 		
Oct	17/10/2006		Tom Clancy's Splinter Cell: Double Agent	X360, 		
Oct	17/10/2006		Zoo Tycoon 2: Marine Mania	Win, 		
Oct	17/10/2006		Zoo Tycoon 2: Zookeeper Collection	Win, 		
Oct	18/10/2006		Football Manager 2007	Win, Mac, 		
Oct	18/10/2006		Lumines	XBLA, 		
Oct	18/10/2006		Jaws: Unleashed[31]	Win (US), 		
Oct	19/10/2006		Contact	NDS		
Oct	19/10/2006		Destroy All Humans! 2	PS2, Xbox, 		
Oct	19/10/2006		Disney's Kim Possible: What's the Switch?	PS2, 		
Oct	20/10/2006		Medal of Honor: Heroes	PSP		
Oct	22/10/2006		Ultimate Mortal Kombat 3	XBLA, 		
Oct	23/10/2006		Cars	X360, 		
Oct	23/10/2006		Magical Starsign	NDS		
Oct	23/10/2006		Work Time Fun	PSP		
Oct	24/10/2006		Dark Messiah of Might and Magic	Win, 		
Oct	24/10/2006		F.E.A.R. Extraction Point	Win, 		
Oct	24/10/2006		Juka and the Monophonic Menace	GBA		
Oct	24/10/2006		Marvel: Ultimate Alliance	Win, PS2, Xbox, X360, GBA		
Oct	24/10/2006		Nacho Libre	NDS		
Oct	24/10/2006		Nicktoons: Battle for Volcano Island	PS2, GCN, GBA, NDS		
Oct	24/10/2006		Phantasy Star Universe	Win, PS2, X360, 		
Oct	24/10/2006		Reservoir Dogs	Win, PS2, Xbox, 		
Oct	24/10/2006		Scurge: Hive	GBA, NDS		
Oct	24/10/2006		Star Wars: Empire at War: Forces of Corruption	Win, 		
Oct	24/10/2006		Tokobot	PS2, 		
Oct	24/10/2006		Tom Clancy's Splinter Cell: Double Agent	PS2, Xbox, GCN, 		
Oct	24/10/2006		Touch Detective	NDS		
Oct	26/10/2006		ATV Offroad Fury Pro	PSP		
Oct	26/10/2006		Guild Wars Nightfall	Win, 		
Oct	26/10/2006		Jaws: Unleashed[31]	Win (AU), 		
Oct	26/10/2006		Rock 'Em Sock 'Em Robots	GBA		
Oct	30/10/2006		Dungeon Siege: Thorne of Agony	PSP		
Oct	30/10/2006		Pokémon Ranger (North America)	NDS		
Oct	31/10/2006		ATV Offroad Fury 4	PS2, 		
Oct	31/10/2006		Death Jr. II: Root of Evil	PSP		
Oct	31/10/2006		Grand Theft Auto: Vice City Stories	PSP		
Oct	31/10/2006		Final Fantasy XII (United States)	PS2, 		
Oct	31/10/2006		Killzone: Liberation	PSP		
Oct	31/10/2006		Konductra	NDS		
Oct	31/10/2006		Need for Speed: Carbon	Win, PS2, Xbox, GCN, X360, PS3, 		
Oct	31/10/2006		Neverwinter Nights 2	Win, 		
Oct	31/10/2006		Power Stone Collection	PSP		
Oct	31/10/2006		Tom and Jerry Tales	GBA, NDS		
Nov	02/11/2006		Dave Mirra BMX Challenge	PSP		
Nov	03/11/2006		Foster's Home for Imaginary Friends	GBA		
Nov	06/11/2006		Elite Beat Agents	NDS		
Nov	06/11/2006		Final Fantasy V	GBA		
Nov	06/11/2006		Lumines II	PSP		
Nov	06/11/2006		Unfabulous	PS2, GCN, Xbox, 		
Nov	07/11/2006		Call of Duty 3	PS2, Xbox, PS3, X360, 		
Nov	07/11/2006		Every Extend Extra	PSP		
Nov	07/11/2006		Guitar Hero II	PS2, 		
Nov	07/11/2006		Gears of War	X360, 		
Nov	07/11/2006		SOCOM U.S. Navy SEALs: Combined Assault	PS2, 		
Nov	07/11/2006		The Sopranos: Road to Respect	PS2, 		
Nov	07/11/2006		Tom Clancy's Splinter Cell: Double Agent	Win, 		
Nov	07/11/2006		Tony Hawk's Project 8	PS2, Xbox, X360, 		
Nov	08/11/2006		Bomberman Land Touch!	NDS		
Nov	09/11/2006		Disney's Chicken Little: Ace in Action	PS2, NDS		
Nov	13/11/2006		Dead or Alive Xtreme 2	X360, 		
Nov	13/11/2006		EverQuest II: Echoes of Faydwer	Win, 		
Nov	13/11/2006		Medieval 2: Total War	Win, 		
Nov	13/11/2006		Mobile Suit Gundam: Crossfire	PS3, 		
Nov	13/11/2006		Polarium Advance	GBA		
Nov	13/11/2006		Yoshi's Island DS	NDS		
Nov	13/11/2006		Mortal Kombat: Unchained	PSP		
Nov	14/11/2006		Bionicle Heroes	Win, GCN, PS2, X360, GBA, NDS		
Nov	14/11/2006		Charlotte's Web	Win, PS2, GBA, NDS		
Nov	14/11/2006		EA Replay	PSP		
Nov	14/11/2006		Eragon	Win, PS2, Xbox, X360, GBA, NDS, PSP		
Nov	14/11/2006		Final Fantasy III	NDS		
Nov	14/11/2006		Gitaroo Man Lives!	PSP		
Nov	14/11/2006		Gunpey	PSP		
Nov	14/11/2006		Heroes of Might and Magic V: Hammers of Fate	Win, 		
Nov	14/11/2006		Left Behind: Eternal Forces	Win, 		
Nov	14/11/2006		Rampage: Total Destruction	Wii, 		
Nov	14/11/2006		Sonic the Hedgehog	X360, 		
Nov	14/11/2006		Sonic the Hedgehog Genesis	GBA		
Nov	14/11/2006		Tomb Raider: Legend	GCN, GBA, NDS		
Nov	14/11/2006		Xiaolin Showdown	PS2, PSP		
Nov	14/11/2006		Warhammer: Mark of Chaos	Win, 		
Nov	14/11/2006		WWE SmackDown! vs. RAW 2007	PS2, X360, 		
Nov	15/11/2006		Untold Legends: Dark Kingdom	PS3, 		
Nov	15/11/2006		Xiaolin Showdown	Xbox, 		
Nov	16/11/2006		Sega Genesis Collection	PS3, PSP		
Nov	16/11/2006		Sonic Rivals	PSP		
Nov	16/11/2006		The Grim Adventures of Billy & Mandy	Wii, 		
Nov	17/11/2006		American Dragon: Jake Long – Attack of the Dark Dragon	PS3, 		
Nov	17/11/2006		Avatar: The Last Airbender	PS3, X360, 		
Nov	17/11/2006		Blast Factor	PSN, 		
Nov	17/11/2006		Brain Boost: Gamma Wave	NDS		
Nov	17/11/2006		Call of Duty 3	PS3, 		
Nov	17/11/2006		Cash Guns Chaos DLX	PS3, 		
Nov	17/11/2006		Danny Phantom: Urban Jungle	PS3, 		
Nov	17/11/2006		Genji: Days of the Blade	PS3, 		
Nov	17/11/2006		Marvel: Ultimate Alliance	PS3, 		
Nov	17/11/2006		NHL 07	PS3, 		
Nov	17/11/2006		Resistance: Fall of Man	PS3, 		
Nov	17/11/2006		Ridge Racer 7	PS3, 		
Nov	17/11/2006		Tony Hawk's Project 8	PS3, 		
Nov	17/11/2006		Totally Spies! 2: Undercover	PS2, GCN Xbox, PS3, GBA		
Nov	19/11/2006		American Dragon: Jake Long – Attack of the Dark Dragon	Wii, 		
Nov	19/11/2006		Avatar: The Last Airbender	Wii, 		
Nov	19/11/2006		Barnyard	Wii, 		
Nov	19/11/2006		Call of Duty 3 (America)	Wii, 		
Nov	19/11/2006		Danny Phantom: Urban Jungle	Wii, 		
Nov	19/11/2006		Excite Truck (America)	Wii, 		
Nov	19/11/2006		Luigi's Mansion (America)	Wii, 		
Nov	19/11/2006		Mario Golf: Toadstool Tour (America)	Wii, 		
Nov	19/11/2006		Mario Kart: Double Dash (America)	Wii, 		
Nov	19/11/2006		Mario Party 4 (America)	Wii, 		
Nov	19/11/2006		Mario Party 5 (America)	Wii, 		
Nov	19/11/2006		Mario Party 6 (America)	Wii, 		
Nov	19/11/2006		Mario Party 7 (America)	Wii, 		
Nov	19/11/2006		Marvel: Ultimate Alliance (America)	Wii, 		
Nov	19/11/2006		Nicktoons Unite	Wii, 		
Nov	19/11/2006		Nicktoons: Battle for Volcano Island	Wii, 		
Nov	19/11/2006		NHL 07	Wii, 		
Nov	19/11/2006		PocketBike Racer	Xbox, X360, 		
Nov	19/11/2006		Rayman Raving Rabbids (America)	Wii, 		
Nov	19/11/2006		Red Steel (America)	Wii, 		
Nov	19/11/2006		Sneak King	Xbox, X360, 		
Nov	19/11/2006		Super Monkey Ball: Banana Blitz (America)	Wii, 		
Nov	19/11/2006		The Legend of Zelda: Twilight Princess (America)	Wii, 		
Nov	19/11/2006		Totally Spies! 2: Undercover	Wii, 		
Nov	19/11/2006		Trauma Center: Second Opinion (America)	Wii, 		
Nov	19/11/2006		Unfabulous	Wii, 		
Nov	19/11/2006		W.I.T.C.H.	Wii, 		
Nov	19/11/2006		Wii Sports (America)	Wii, 		
Nov	20/11/2006		Tom Clancy's Rainbow Six: Vegas	X360, 		
Nov	21/11/2006		The Elder Scrolls IV: Knights of the Nine	Win, 		
Nov	21/11/2006		Rapala Tournament Fishing	X360, 		
Nov	21/11/2006		Thrillville	PS2, Xbox, PSP		
Nov	21/11/2006		Yggdra Union: We'll Never Fight Alone	GBA		
Nov	22/11/2006		Justice League Heroes	PSP		
Nov	22/11/2006		Rapala Tournament Fishing	Wii, 		
Nov	22/11/2006		Small Arms	XBLA, 		
Nov	22/11/2006		Superman Returns	PS2, Xbox, X360, NDS		
Nov	22/11/2006		Tony Hawk's Project 8	PSP		
Nov	27/11/2006		Totally Spies! 2: Undercover	NDS		
Nov	28/11/2006		The Lord of the Rings: The Battle for Middle-earth II: The Rise of the Witch-king	Win, 		
Nov	28/11/2006		Online Chess Kingdoms	PSP		
Nov	28/11/2006		Tom Clancy's Splinter Cell: Double Agent	Wii, 		
Nov	28/11/2006		Xiaolin Showdown	NDS		
Nov	30/11/2006		Final Fantasy VI Advance (Japan)	GBA		
Dec	04/12/2006		Cartoon Network Racing	PS2, NDS		
Dec	04/12/2006		Kirby: Squeak Squad	NDS		
Dec	04/12/2006		Mercury Meltdown Remix	PS2, 		
Dec	05/12/2006		Metal Gear Solid: Portable Ops	PSP		
Dec	05/12/2006		Star Trek: Legacy	Win, 		
Dec	05/12/2006		Fight Night Round 3	PS3, 		
Dec	05/12/2006		WWE SmackDown! vs. RAW 2007	PSP		
Dec	05/12/2006		Castlevania: Portrait of Ruin	NDS		
Dec	07/12/2006		Star Wars: Lethal Alliance	PSP		
Dec	11/12/2006		Disney's Chicken Little: Ace in Action	Wii, 		
Dec	12/12/2006		Blazing Angels: Squadrons of WWII	PS3, 		
Dec	12/12/2006		Fullmetal Alchemist: Dual Sympathy	NDS		
Dec	12/12/2006		Elebits	Wii, 		
Dec	12/12/2006		Shrek Smash n' Crash Racing	PSP		
Dec	12/12/2006		Zatch Bell! Mamodo Fury	GCN, 		
Dec	13/12/2006		Mashed	PS2, Xbox, 		
Dec	13/12/2006		The Legend of Zelda: Twilight Princess	GCN, 		
Dec	14/12/2006		Star Wars: Lethal Alliance	NDS		
Dec	19/12/2006		Bubble Bobble Evolution	PSP		
Dec	20/12/2006		3D Ultra Minigolf Adventures	Win, 		
Dec	20/12/2006		Novadrome	XBLA, 		
Dec	21/12/2006		FlatOut 2 (Steam)	Win, 		
Dec	27/12/2006		New Rally-X	XBLA, 		
Dec	29/12/2006		Ape Escape: Million Monkeys	PS2, 		
Jan	02/01/2007		Karaoke Revolution Presents: American Idol	PS2		
Jan	02/01/2007		Yu-Gi-Oh! GX Spirit Caller	NDS		
Jan	04/01/2007		GripShift	PSN		
Jan	09/01/2007		Arthur and the Invisibles	GBA, NDS, PS2, PSP, Win		
Jan	09/01/2007		The Shield	PS2		
Jan	12/01/2007		Lost Planet: Extreme Condition	X360, PS3, Win		
Jan	15/01/2007		WarioWare: Smooth Moves	Wii		
Jan	16/01/2007		Phoenix Wright: Ace Attorney: Justice for All	NDS		
Jan	16/01/2007		World of Warcraft: The Burning Crusade	Mac, Win		
Jan	17/01/2007		NCAA March Madness 07	PS2, X360		
Jan	22/01/2007		Hotel Dusk: Room 215	NDS		
Jan	22/01/2007		The Shield	Win		
Jan	23/01/2007		Inuyasha: Secret of the Divine Jewel	NDS		
Jan	23/01/2007		The Legend of Heroes III: Song of the Ocean	PSP		
Jan	26/01/2007		Europa Universalis III	Win		
Jan	30/01/2007		Rogue Galaxy	PS2		
Jan	30/01/2007		Battlestations: Midway	X360, Win		
Jan	30/01/2007		Sonic the Hedgehog	PS3		
Feb	05/02/2007		Diddy Kong Racing DS	NDS		
Feb	05/02/2007		Final Fantasy VI Advance	GBA		
Feb	06/02/2007		Ar tonelico: Melody of Elemia	PS2		
Feb	06/02/2007		Capcom Puzzle World	PSP		
Feb	06/02/2007		Lunar Knights	NDS		
Feb	06/02/2007		Micro Machines V4	NDS		
Feb	06/02/2007		MVP 07: NCAA Baseball	PS2		
Feb	06/02/2007		Winning Eleven: Pro Evolution Soccer 2007	PS3, X360		
Feb	06/02/2007		The Sims Life Stories	Win		
Feb	12/02/2007		Gurumin: A Monstrous Adventure	PSP		
Feb	12/02/2007		Wii Play	Wii		
Feb	12/02/2007		The Warriors	PSP		
Feb	13/02/2007		Chulip	PS2		
Feb	13/02/2007		Ghost Rider	GBA, PS2, PSP		
Feb	13/02/2007		Disney's Kim Possible: Global Gemini	NDS, PS2, PS3, Wii, X360		
Feb	13/02/2007		Ratchet & Clank: Size Matters	PSP		
Feb	13/02/2007		Thrillville	Win, NDS, GBA, GCN, PS3, Wii, X360		
Feb	14/02/2007		Paperboy	XBLA		
Feb	15/02/2007		Myst Online: Uru Live	Win		
Feb	19/02/2007		Monster Kingdom: Jewel Summoner	PSP		
Feb	19/02/2007		NBA Street Homecourt	X360		
Feb	20/02/2007		M.A.C.H.	PSP		
Feb	20/02/2007		Maelstrom	Win		
Feb	20/02/2007		Metal Slug Anthology	PSP		
Feb	20/02/2007		Supreme Commander	Win		
Feb	20/02/2007		Crackdown	X360		
Feb	20/02/2007		Sonic and the Secret Rings	Wii		
Feb	20/02/2007		Virtua Fighter 5	PS3		
Feb	26/02/2007		Jade Empire	Win		
Feb	27/02/2007		300: March to Glory	PSP		
Feb	27/02/2007		Peggle	Win		
Feb	27/02/2007		Bullet Witch	X360		
Feb	27/02/2007		Dance Dance Revolution Universe	X360		
Feb	27/02/2007		Earthquake in Zipland	Win		
Feb	27/02/2007		Marvel Trading Card Game	PSP		
Feb	27/02/2007		SSX Blur	Wii		
Feb	28/02/2007		Alien Hominid	XBLA		
Mar	01/03/2007		Tekken 5: Dark Resurrection	PS3		
Mar	05/03/2007		Grand Theft Auto: Vice City Stories	PS2		
Mar	05/03/2007		Wario: Master of Disguise	NDS		
Mar	06/03/2007		Burnout Dominator	PS2, PSP		
Mar	06/03/2007		Def Jam: Icon	PS3, X360		
Mar	06/03/2007		MotorStorm	PS3		
Mar	06/03/2007		NBA Street Homecourt	PS3		
Mar	06/03/2007		Tom Clancy's Ghost Recon Advanced Warfighter 2	X360		
Mar	06/03/2007		Uno Free Fall	GBA		
Mar	11/03/2007		El Tigre: The Adventures of Manny Rivera	PS2 PS3, Wii, X360		
Mar	11/03/2007		Ratchet & Clank: Size Matters	PS2		
Mar	13/03/2007		Call of Duty: Roads to Victory	PSP		
Mar	13/03/2007		God of War II	PS2		
Mar	13/03/2007		Knights and Merchants: The Shattered Kingdom	Lin		
Mar	13/03/2007		Spectrobes	NDS		
Mar	14/03/2007		Formula One Championship Edition	PS3		
Mar	15/03/2007		Drake and Josh	GBA, GCN, NDS, PS2, PS3, Wii, Xbox, X360		
Mar	19/03/2007		Custom Robo Arena	NDS		
Mar	20/03/2007		Silent Hunter 4: Wolves of the Pacific	Win		
Mar	20/03/2007		Armored Core 4	PS3, X360		
Mar	20/03/2007		Blazing Angels: Squadrons of WWII	Wii		
Mar	20/03/2007		Cooking Mama: Cook Off	Wii		
Mar	20/03/2007		After Burner: Black Falcon	PSP		
Mar	20/03/2007		Earth Defense Force 2017	X360		
Mar	20/03/2007		Kororinpa: Marble Mania	Wii		
Mar	20/03/2007		Lost in Blue 2	NDS		
Mar	20/03/2007		Rocky Balboa	PSP		
Mar	20/03/2007		Theme Park	NDS		
Mar	20/03/2007		UEFA Champions League 2006–2007	PS2, PSP, X360		
Mar	20/03/2007		Virtua Tennis 3	PS3, X360		
Mar	21/03/2007		Dragon Ball Z: Harukanaru Densetsu	NDS		
Mar	21/03/2007		Test Drive Unlimited	PSP		
Mar	21/03/2007		The Godfather: The Don's Edition	PS3		
Mar	23/03/2007		S.T.A.L.K.E.R.: Shadow of Chernobyl'	Win		
Mar	23/03/2007		Wing Island	Wii		
Mar	26/03/2007		Medal of Honor: Vanguard	PS2, Wii		
Mar	26/03/2007		Virtua Tennis 3	PSP		
Mar	27/03/2007		The Elder Scrolls IV: Shivering Isles	X360, Win		
Mar	27/03/2007		Honeycomb Beat	NDS		
Mar	27/03/2007		Konami Classics Series: Arcade Hits	NDS		
Mar	27/03/2007		Disney's Meet the Robinsons	PS2, GBA, NDS, Wii, X360, GCN		
Mar	27/03/2007		Metal Slug Anthology	PS2		
Mar	27/03/2007		Purr Pals	NDS, Wii		
Mar	28/03/2007		Command & Conquer 3: Tiberium Wars	Win		
Mar	28/03/2007		Jetpac Refuelled	XBLA		
Mar	30/03/2007		Penumbra: Overture	Win		
Mar	30/03/2007		Tom Clancy's Splinter Cell: Double Agent	PS3		
Apr	03/04/2007		Final Fantasy Fables: Chocobo Tales	NDS		
Apr	03/04/2007		Guitar Hero II	X360		
Apr	03/04/2007		Pimp My Ride	PSP		
Apr	03/04/2007		Prince of Persia: Rival Swords	PSP, Wii		
Apr	03/04/2007		SingStar Pop	PS2		
Apr	03/04/2007		Enchanted Arms	PS3		
Apr	09/04/2007		Super Paper Mario	Wii		
Apr	18/04/2007		3D Ultra Minigolf Adventures	XBLA		
Apr	19/04/2007		Super Rub 'a' Dub	PS3		
Apr	22/04/2007		Pokémon Diamond and Pearl (North America)	NDS		
Apr	23/04/2007		Made Man	PS2		
Apr	24/04/2007		Aedis Eclipse: Generation of Chaos	PSP		
Apr	24/04/2007		Bionicle Heroes	Wii		
Apr	24/04/2007		SNK vs. Capcom: Card Fighters DS	NDS		
Apr	24/04/2007		The Fast and the Furious	PSP		
Apr	24/04/2007		The Lord of the Rings Online: Shadows of Angmar	Win		
Apr	25/04/2007		Eets: Chowdown	XBLA		
May	01/05/2007		Heatseeker	PS2, Wii		
May	01/05/2007		Legend of the Dragon	PS2, Wii		
May	08/05/2007		Command & Conquer 3: Tiberium Wars	X360		
May	08/05/2007		Driver 76	PSP		
May	08/05/2007		Heatseeker	PSP		
May	08/05/2007		Infernal	Win		
May	10/05/2007		Calling All Cars!	PSN		
May	15/05/2007		Innocent Life: A Futuristic Harvest Moon	PSP		
May	15/05/2007		LazyTown: Get Up and Move	GCN, PS2, PS3, Wii, Xbox, X360		
May	15/05/2007		Resident Evil 4	Win		
May	15/05/2007		Touch the Dead	NDS		
May	15/05/2007		MLB 07: The Show	PS2, PS3, PSP		
May	15/05/2007		Etrian Odyssey	NDS		
May	16/05/2007		Aegis Wing	XBLA		
May	16/05/2007		Soltrio Solitaire	XBLA		
May	16/05/2007		Sudokuro	NDS		
May	16/05/2007		Taito Legends 2	PS2		
May	17/05/2007		Taito Legends Power-Up	PSP		
May	22/05/2007		Odin Sphere	PS2		
May	22/05/2007		Pirates of the Caribbean: At World's End	NDS, PS2, PS3, PSP, Wii, Win, X360		
May	22/05/2007		Dawn of Mana	PS2		
May	22/05/2007		Death, Jr. and the Science Fair of Doom	NDS		
May	22/05/2007		Marvel Trading Card Game	NDS		
May	23/05/2007		Xevious	XBLA		
May	25/05/2007		Penumbra: Overture	Lin		
May	28/05/2007		Carl²: Taking the 5th Grade	NDS, Wii, PS2, PS3		
May	29/05/2007		Atelier Iris 3: Grand Phantasm	PS2		
May	29/05/2007		Crush	PSP		
May	29/05/2007		Forza Motorsport 2	X360		
May	29/05/2007		Legend of the Dragon	PSP		
May	29/05/2007		Mario Party 8	Wii		
May	29/05/2007		Mortal Kombat: Armageddon	Wii		
May	29/05/2007		Shadowrun	X360, Win		
May	29/05/2007		Tank Beat	NDS		
May	29/05/2007		WarTech: Senko no Ronde	X360		
May	30/05/2007		Surf's Up	GBA, NDS, PS2, PS3, PSP, Wii, X360		
May	31/05/2007		Halo 2 for Windows Vista	Win		
Jun	01/06/2007		Surf's Up	GCN, Win		
Jun	04/06/2007		Planet Puzzle League	NDS		
Jun	04/06/2007		Nintendo DS Browser	NDS		
Jun	05/06/2007		Tomb Raider: Anniversary	PS2, Win		
Jun	05/06/2007		Drawn Together	GCN, PS2, PS3, Wii, Win, Xbox, X360		
Jun	07/06/2007		Ballistics	Lin		
Jun	07/06/2007		Call of Juarez	X360		
Jun	08/06/2007		Marvel Trading Card Game	Win		
Jun	11/06/2007		Big Brain Academy: Wii Degree	Wii		
Jun	12/06/2007		The Backyardigans Racing	PS2, PS3, Wii, X360		
Jun	12/06/2007		Scarface: The World Is Yours	Wii		
Jun	12/06/2007		Dream Chronicles	Win		
Jun	12/06/2007		Hi-5 Dance	GCN, PS2, PS3, Wii, Xbox, X360		
Jun	12/06/2007		Tenchu Z	X360		
Jun	12/06/2007		Time Ace	NDS		
Jun	13/06/2007		Prince of Persia Classic	XBLA		
Jun	18/06/2007		PQ2: Practical Intelligence Quotient 2	PSP		
Jun	19/06/2007		6teen	Wii, X360, GBA, PS2, PS3, GCN, Xbox, NDS, PSP		
Jun	19/06/2007		B-17: Fortress in the Sky	NDS		
Jun	19/06/2007		Dirt	X360, Win		
Jun	19/06/2007		Dungeon Maker: Hunting Ground	PSP		
Jun	19/06/2007		Evan Almighty: The Video Game	Wii, X360, PS2, PS3, Xbox, NDS, GCN, GBA, PSP, Win,		
Jun	19/06/2007		SimCity DS	NDS		
Jun	19/06/2007		Raw Danger!	PS2		
Jun	19/06/2007		Resident Evil 4: Wii Edition	Wii		
Jun	19/06/2007		Brothers in Arms DS	NDS		
Jun	19/06/2007		Unfabulous: School's Out	NDS, PS2, PS3, Wii, Xbox 360		
Jun	19/06/2007		Transformers Autobots	NDS		
Jun	25/06/2007		Harry Potter and the Order of the Phoenix	Win, PS2, PS3, X360, PSP, NDS, Wii, GBA, Mac		
Jun	25/06/2007		Hoshigami Remix	NDS		
Jun	25/06/2007		Hour of Victory	X360		
Jun	25/06/2007		Pokémon Battle Revolution	Wii		
Jun	25/06/2007		The Adventures of Darwin	PS2		
Jun	25/06/2007		The Darkness	PS3, X360		
Jun	26/06/2007		Final Fantasy Anniversary Edition	PSP		
Jun	26/06/2007		Overlord	X360, Win		
Jun	26/06/2007		GrimGrimoire	PS2		
Jun	26/06/2007		Nervous Brickdown	NDS		
Jun	26/06/2007		Ratatouille	Wii, X360, PS2, Xbox, NDS, GCN, GBA, PSP, Win, Mac		
Jun	26/06/2007		Switchball	Win		
Jun	26/06/2007		Zendoku	NDS		
Jun	27/06/2007		Carcassonne	XBLA		
Jun	28/06/2007		Super Stardust HD	PSN		
Jun	30/06/2007		Rafa Nadal Tennis	NDS		
Jul	01/07/2007		Smash Court Tennis 3	PSP		
Jul	03/07/2007		Ninja Gaiden Sigma	PS3		
Jul	03/07/2007		Vampire Rain	X360		
Jul	07/07/2007		The Adventures of Cookie & Cream	NDS		
Jul	10/07/2007		Project Sylpheed	X360		
Jul	10/07/2007		Riviera: The Promised Land	PSP		
Jul	11/07/2007		Sonic the Hedgehog	XBLA		
Jul	17/07/2007		NCAA Football 08	PS2, PS3, Xbox, X360		
Jul	17/07/2007		PaRappa the Rapper	PSP		
Jul	17/07/2007		Tales of the World: Radiant Mythology	PSP		
Jul	18/07/2007		Bomberman Live	XBLA		
Jul	18/07/2007		Deal or No Deal	GBA		
Jul	23/07/2007		Civilization IV: Beyond the Sword	Win		
Jul	23/07/2007		Deal or No Deal	NDS		
Jul	23/07/2007		NASCAR 08	PS2, PS3, X360		
Jul	24/07/2007		Dynasty Warriors DS: Fighter's Battle	NDS		
Jul	24/07/2007		Final Fantasy II	PSP		
Jul	25/07/2007		Escape from Bug Island	Wii		
Jul	25/07/2007		Wing Commander Arena	XBLA		
Jul	27/07/2007		The World Ends With You	NDS		
Jul	30/07/2007		Drake & Josh: Talent Showdown	NDS, PS2, PS3, Wii, X360		
Jul	30/07/2007		Mario Strikers Charged	Wii		
Jul	30/07/2007		Picross DS	NDS		
Jul	31/07/2007		Harvest Moon: Boy & Girl	PSP		
Aug	06/08/2007		Chameleon: To Dye For!	NDS		
Aug	07/08/2007		Crazy Taxi: Fare Wars	PSP		
Aug	07/08/2007		Mega Man Star Force	NDS		
Aug	09/08/2007		Piyotama	PS3, PSP		
Aug	09/08/2007		Tomb Raider: Anniversary	PSP		
Aug	14/08/2007		Billy the Wizard: Rocket Broomstick Racing	Wii		
Aug	14/08/2007		Class of the Titans: Revenge of the Hercules	NDS, PS2, PS3, Wii, X360,		
Aug	14/08/2007		Heroes of Mana	NDS		
Aug	14/08/2007		Madden NFL 08	GCN, NDS, PS2, PS3, PSP, Wii, Xbox, X360, Win		
Aug	14/08/2007		Luminous Arc	NDS		
Aug	14/08/2007		Rune Factory: A Fantasy Harvest Moon	NDS		
